,Admin,State,Lat,Longt,Population,Date,Deaths
0,Autauga,Alabama,32.53952745,-86.64408227,55869,2020-09-23,25
1,Baldwin,Alabama,30.72774991,-87.72207058,223234,2020-09-23,49
2,Barbour,Alabama,31.868263,-85.3871286,24686,2020-09-23,7
3,Bibb,Alabama,32.99642064,-87.12511459999999,22394,2020-09-23,10
4,Blount,Alabama,33.98210918,-86.56790593,57826,2020-09-23,15
5,Bullock,Alabama,32.10030533,-85.71265535,10101,2020-09-23,14
6,Butler,Alabama,31.75300095,-86.68057478,19448,2020-09-23,39
7,Calhoun,Alabama,33.77483727,-85.82630386,113605,2020-09-23,40
8,Chambers,Alabama,32.91360079,-85.39072749,33254,2020-09-23,42
9,Cherokee,Alabama,34.17805983,-85.60638968,26196,2020-09-23,15
10,Chilton,Alabama,32.85044126,-86.7173256,44428,2020-09-23,31
11,Choctaw,Alabama,32.02227341,-88.26564429999999,12589,2020-09-23,12
12,Clarke,Alabama,31.68099859,-87.83548597,23622,2020-09-23,17
13,Clay,Alabama,33.26984193,-85.85836077,13235,2020-09-23,7
14,Cleburne,Alabama,33.67679204,-85.52005899,14910,2020-09-23,6
15,Coffee,Alabama,31.39932826,-85.98901039,52342,2020-09-23,8
16,Colbert,Alabama,34.69847452,-87.80168544,55241,2020-09-23,26
17,Conecuh,Alabama,31.43401703,-86.99320044,12067,2020-09-23,11
18,Coosa,Alabama,32.93690146,-86.24847739,10663,2020-09-23,3
19,Covington,Alabama,31.247785399999998,-86.45050893,37049,2020-09-23,27
20,Crenshaw,Alabama,31.72941803,-86.31593104,13772,2020-09-23,32
21,Cullman,Alabama,34.13020303,-86.86888037,83768,2020-09-23,18
22,Dale,Alabama,31.43037123,-85.61095742,49172,2020-09-23,44
23,Dallas,Alabama,32.32688101,-87.10866709999999,37196,2020-09-23,26
24,DeKalb,Alabama,34.45946862,-85.80782906,71513,2020-09-23,19
25,Elmore,Alabama,32.59785413,-86.14415284,81209,2020-09-23,47
26,Escambia,Alabama,31.1256789,-87.15918694,36633,2020-09-23,25
27,Etowah,Alabama,34.04567266,-86.04051873,102268,2020-09-23,47
28,Fayette,Alabama,33.72076938,-87.73886638,16302,2020-09-23,8
29,Franklin,Alabama,34.44235334,-87.84289505,31362,2020-09-23,29
30,Geneva,Alabama,31.09389027,-85.83572839,26271,2020-09-23,4
31,Greene,Alabama,32.85504247,-87.95684022,8111,2020-09-23,15
32,Hale,Alabama,32.76039258,-87.63284988,14651,2020-09-23,28
33,Henry,Alabama,31.51148016,-85.24267944,17205,2020-09-23,5
34,Houston,Alabama,31.15197924,-85.29939599,105882,2020-09-23,23
35,Jackson,Alabama,34.78144169,-85.99750489,51626,2020-09-23,11
36,Jefferson,Alabama,33.55554728,-86.89506300000001,658573,2020-09-23,349
37,Lamar,Alabama,33.77995024,-88.09668032,13805,2020-09-23,2
38,Lauderdale,Alabama,34.90171875,-87.65624729,92729,2020-09-23,33
39,Lawrence,Alabama,34.52041498,-87.31069453,32924,2020-09-23,22
40,Lee,Alabama,32.60154883,-85.35132246,164542,2020-09-23,61
41,Limestone,Alabama,34.81185586,-86.98310072,98915,2020-09-23,19
42,Lowndes,Alabama,32.1597283,-86.65158371,9726,2020-09-23,27
43,Macon,Alabama,32.38759944,-85.69267724,18068,2020-09-23,20
44,Madison,Alabama,34.76327133,-86.55069633,372909,2020-09-23,78
45,Marengo,Alabama,32.24767634,-87.78796182,18863,2020-09-23,19
46,Marion,Alabama,34.13697363,-87.88704173,29709,2020-09-23,29
47,Marshall,Alabama,34.36975964,-86.30486727,96774,2020-09-23,44
48,Mobile,Alabama,30.78472347,-88.20842409,413210,2020-09-23,291
49,Monroe,Alabama,31.56729412,-87.36995001,20733,2020-09-23,8
50,Montgomery,Alabama,32.2206831,-86.20969272,226486,2020-09-23,177
51,Morgan,Alabama,34.45500589,-86.85475946,119679,2020-09-23,26
52,Out of AL,Alabama,0.0,0.0,0,2020-09-23,0
53,Perry,Alabama,32.64048341,-87.29770589,8923,2020-09-23,6
54,Pickens,Alabama,33.28094866,-88.08818103,19930,2020-09-23,14
55,Pike,Alabama,31.80396383,-85.9408295,33114,2020-09-23,9
56,Randolph,Alabama,33.29526734,-85.45708831,22722,2020-09-23,13
57,Russell,Alabama,32.28725256,-85.18415324,57961,2020-09-23,2
58,Shelby,Alabama,33.26879845,-86.66232561,217702,2020-09-23,50
59,St. Clair,Alabama,33.71902176,-86.31029372,89512,2020-09-23,37
60,Sumter,Alabama,32.59117397,-88.19916205,12427,2020-09-23,19
61,Talladega,Alabama,33.37823223,-86.16886178,79978,2020-09-23,28
62,Tallapoosa,Alabama,32.86698258,-85.79833053,40367,2020-09-23,85
63,Tuscaloosa,Alabama,33.28726072,-87.52556818,209355,2020-09-23,116
64,Unassigned,Alabama,0.0,0.0,0,2020-09-23,0
65,Walker,Alabama,33.80270512,-87.30027177,63521,2020-09-23,83
66,Washington,Alabama,31.4092794,-88.20689944,16326,2020-09-23,13
67,Wilcox,Alabama,31.98773215,-87.30891118,10373,2020-09-23,11
68,Winston,Alabama,34.15030532,-87.37325922,23629,2020-09-23,12
