City,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases /1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Date
New York ,188694,7550.0,9385.0,758 ,162220,9618.0,478.0,461601.0,"23,529",04-12-2020
New Jersey ,61850,3699.0,2350.0,167 ,58818,6964.0,265.0,126735.0,"14,269",04-12-2020
Michigan ,23993,,1392.0, ,22158,2410.0,140.0,76014.0,"7,634",04-12-2020
Massachusetts ,22860,,686.0, ,21445,3347.0,100.0,108776.0,"15,926",04-12-2020
Pennsylvania ,22833,1029.0,507.0,6 ,21676,1785.0,40.0,124890.0,"9,764",04-12-2020
California ,22424,251.0,634.0,4 ,20850,573.0,16.0,182986.0,"4,674",04-12-2020
Louisiana ,20595,581.0,840.0,34 ,19705,4416.0,180.0,104045.0,"22,310",04-12-2020
Florida ,19347,361.0,452.0,6 ,18715,939.0,22.0,183222.0,"8,895",04-12-2020
Illinois ,19180,,677.0, ,18453,1496.0,53.0,92779.0,"7,236",04-12-2020
Texas ,13484,279.0,271.0,4 ,11596,484.0,10.0,124553.0,"4,467",04-12-2020
Georgia ,12452,191.0,433.0,1 ,11988,1209.0,42.0,54453.0,"5,288",04-12-2020
Connecticut ,11510,,494.0, ,10966,3214.0,138.0,39831.0,"11,121",04-12-2020
Washington ,10448,,494.0, ,8880,1432.0,68.0,92999.0,"12,749",04-12-2020
Maryland ,8225,531.0,235.0,29 ,7534,1370.0,39.0,47238.0,"7,868",04-12-2020
Indiana ,7928,493.0,343.0,13 ,7571,1194.0,52.0,42489.0,"6,401",04-12-2020
Colorado ,6893,,274.0, ,6579,1246.0,50.0,34873.0,"6,305",04-12-2020
Ohio ,6250,,247.0, ,6003,537.0,21.0,60471.0,"5,194",04-12-2020
Virginia ,5274,197.0,141.0,11 ,5131,627.0,17.0,39985.0,"4,752",04-12-2020
Tennessee ,5114,,101.0, ,3627,769.0,15.0,66828.0,"10,048",04-12-2020
North Carolina ,4520,165.0,87.0, ,4347,445.0,9.0,62139.0,"6,119",04-12-2020
Missouri ,4024,,114.0, ,3726,661.0,19.0,45064.0,"7,400",04-12-2020
Arizona ,3539,146.0,115.0,7 ,3384,509.0,17.0,42109.0,"6,062",04-12-2020
Alabama ,3450,188.0,93.0, ,3337,709.0,19.0,20605.0,"4,236",04-12-2020
US Military ,3366,,13.0, ,3054,,,0.0,,04-12-2020
Wisconsin ,3213,,137.0, ,3011,556.0,24.0,37893.0,"6,558",04-12-2020
South Carolina ,3207,,80.0, ,3127,647.0,16.0,30093.0,"6,072",04-12-2020
Nevada ,2836,136.0,112.0,1 ,2474,970.0,38.0,29579.0,"10,120",04-12-2020
Mississippi ,2781,139.0,96.0,3 ,2685,930.0,32.0,21101.0,"7,060",04-12-2020
Rhode Island ,2665,316.0,63.0,7 ,2592,2522.0,60.0,20350.0,"19,260",04-12-2020
Utah ,2206,,18.0, ,2162,724.0,6.0,42546.0,"13,971",04-12-2020
Oklahoma ,1970,102.0,96.0,2 ,1352,503.0,25.0,22511.0,"5,745",04-12-2020
District Of Columbia ,1875,97.0,50.0,3 ,1332,2739.0,73.0,10640.0,"15,544",04-12-2020
Kentucky ,1840,,94.0, ,1440,414.0,21.0,24567.0,"5,533",04-12-2020
Minnesota ,1621,194.0,70.0,6 ,709,293.0,13.0,37421.0,"6,770",04-12-2020
Iowa ,1510,,34.0, ,1387,482.0,11.0,17132.0,"5,469",04-12-2020
Delaware ,1479,,33.0, ,1255,1558.0,35.0,11103.0,"11,694",04-12-2020
Oregon ,1447,,51.0, ,1396,354.0,12.0,28638.0,"7,016",04-12-2020
Idaho ,1407,,27.0, ,1380,834.0,16.0,14308.0,"8,477",04-12-2020
Arkansas  ,1280,52.0,27.0,2 ,886,428.0,9.0,19722.0,"6,595",04-12-2020
Kansas ,1268,,55.0, ,1213,436.0,19.0,12343.0,"4,243",04-12-2020
New Mexico ,1174,,20.0, ,983,561.0,10.0,28692.0,"13,712",04-12-2020
New Hampshire ,929,,23.0, ,670,691.0,17.0,10925.0,"8,131",04-12-2020
Puerto Rico ,897,109.0,44.0,2 ,849,265.0,13.0,7973.0,"2,354",04-12-2020
Nebraska ,791,87.0,17.0, ,774,415.0,9.0,10710.0,"5,623",04-12-2020
South Dakota ,730,104.0,6.0, ,528,845.0,7.0,8553.0,"9,896",04-12-2020
Vermont ,727,16.0,27.0,2 ,700,1163.0,43.0,9841.0,"15,746",04-12-2020
Navajo Nation ,698,140.0,24.0,2 ,674,,,0.0,,04-12-2020
Maine ,633,17.0,19.0, ,348,475.0,14.0,6625.0,"4,971",04-12-2020
West Virginia ,593,2.0,6.0, ,504,324.0,3.0,16124.0,"8,815",04-12-2020
Hawaii ,486,,8.0, ,178,342.0,6.0,17953.0,"12,625",04-12-2020
Montana ,387,10.0,6.0, ,212,371.0,6.0,8913.0,"8,556",04-12-2020
North Dakota ,308,15.0,8.0,1 ,179,409.0,11.0,10350.0,"13,760",04-12-2020
Wyoming ,261,,, ,124,449.0,,5614.0,"9,649",04-12-2020
Alaska ,257,,8.0, ,186,348.0,11.0,7732.0,"10,470",04-12-2020
Guam ,133,,5.0, ,70,,,605.0,,04-12-2020
Grand Princess Ship ,103,,3.0, ,100,,,0.0,,04-12-2020
United States Virgin Islands ,51,,1.0, ,7,,,370.0,,04-12-2020
Diamond Princess Ship ,46,,, ,46,,,46.0,,04-12-2020
Northern Mariana Islands ,11,,2.0, ,9,,,45.0,,04-12-2020
Wuhan Repatriated ,3,,, ,3,,,3.0,,04-12-2020
New York ,195031,5616.0,10056.0,671 ,167886,9941.0,513.0,478357.0,"24,383",04-13-2020
New Jersey ,61850,,2350.0, ,58818,6964.0,265.0,126735.0,"14,269",04-13-2020
Massachusetts ,25475,,756.0, ,23990,3730.0,111.0,116730.0,"17,090",04-13-2020
Michigan ,24638,,1487.0, ,22708,2474.0,149.0,76014.0,"7,634",04-13-2020
Pennsylvania ,24199,1279.0,561.0, ,22988,1892.0,44.0,129792.0,"10,147",04-13-2020
California ,23428,251.0,682.0,8 ,21806,598.0,17.0,203400.0,"5,196",04-13-2020
Louisiana ,21016,421.0,884.0,44 ,20082,4506.0,190.0,108091.0,"23,178",04-13-2020
Illinois ,20852,,720.0, ,20082,1626.0,56.0,100735.0,"7,857",04-13-2020
Florida ,20601,706.0,470.0,9 ,19951,1000.0,23.0,197996.0,"9,612",04-13-2020
Texas ,13906,266.0,287.0,9 ,11605,499.0,10.0,133226.0,"4,778",04-13-2020
Georgia ,13315,765.0,464.0,22 ,12820,1293.0,45.0,57021.0,"5,537",04-13-2020
Connecticut ,12035,,554.0, ,11431,3360.0,155.0,41220.0,"11,509",04-13-2020
Washington ,10530,,508.0,3 ,8697,1444.0,70.0,92999.0,"12,749",04-13-2020
Maryland ,8936,711.0,262.0,27 ,8071,1488.0,44.0,51751.0,"8,620",04-13-2020
Indiana ,8236,308.0,350.0,7 ,7872,1241.0,53.0,44539.0,"6,710",04-13-2020
Colorado ,7303,,290.0, ,6973,1320.0,52.0,37153.0,"6,717",04-13-2020
Ohio ,6604,,253.0, ,6351,567.0,22.0,63243.0,"5,432",04-13-2020
Virginia ,5747,473.0,149.0,8 ,5131,683.0,18.0,41401.0,"4,921",04-13-2020
Tennessee ,5308,,101.0, ,3703,798.0,15.0,70747.0,"10,637",04-13-2020
North Carolina ,4857,275.0,96.0,6 ,4675,478.0,9.0,63388.0,"6,242",04-13-2020
US Military ,4528,1162.0,15.0,2 ,3925,,,,,04-13-2020
Missouri ,4160,,116.0, ,3860,683.0,19.0,45064.0,"7,400",04-13-2020
Arizona ,3702,163.0,122.0,7 ,3540,533.0,18.0,42109.0,"6,062",04-13-2020
Alabama ,3671,88.0,98.0,5 ,3553,755.0,20.0,29140.0,"5,990",04-13-2020
Wisconsin ,3341,,144.0, ,3132,578.0,25.0,39257.0,"6,794",04-13-2020
South Carolina ,3319,,82.0, ,3237,670.0,17.0,31426.0,"6,341",04-13-2020
Rhode Island ,2976,311.0,73.0,10 ,2893,2817.0,69.0,20350.0,"19,260",04-13-2020
Nevada ,2971,135.0,114.0,2 ,2607,1016.0,39.0,30628.0,"10,479",04-13-2020
Mississippi ,2942,161.0,98.0,2 ,2844,984.0,33.0,21101.0,"7,060",04-13-2020
Utah ,2303,,18.0, ,2259,756.0,6.0,44234.0,"14,525",04-13-2020
Oklahoma ,2069,99.0,99.0,3 ,1448,528.0,25.0,22511.0,"5,745",04-13-2020
Kentucky ,1963,,97.0, ,1560,442.0,22.0,25866.0,"5,825",04-13-2020
District Of Columbia ,1955,80.0,52.0,2 ,1396,2856.0,76.0,10934.0,"15,974",04-13-2020
Iowa ,1710,123.0,43.0,2 ,993,546.0,14.0,17592.0,"5,616",04-13-2020
Minnesota ,1650,29.0,70.0, ,738,299.0,13.0,38427.0,"6,952",04-13-2020
Delaware ,1625,,35.0, ,1377,1711.0,37.0,11820.0,"12,449",04-13-2020
Oregon ,1527,,52.0, ,1475,374.0,13.0,29758.0,"7,290",04-13-2020
Idaho ,1426,,27.0, ,1375,845.0,16.0,14881.0,"8,817",04-13-2020
Arkansas ,1398,118.0,29.0,2 ,993,467.0,10.0,20792.0,"6,952",04-13-2020
Kansas ,1337,,56.0, ,1153,460.0,19.0,13253.0,"4,556",04-13-2020
New Mexico ,1245,,26.0, ,924,595.0,12.0,30515.0,"14,583",04-13-2020
New Hampshire ,985,,23.0, ,726,733.0,17.0,10925.0,"8,131",04-13-2020
Puerto Rico ,903,6.0,45.0,1 ,854,267.0,13.0,8157.0,"2,408",04-13-2020
South Dakota ,868,138.0,6.0, ,655,1004.0,7.0,9002.0,"10,415",04-13-2020
Nebraska ,814,23.0,17.0, ,775,427.0,9.0,10991.0,"5,770",04-13-2020
Vermont ,748,21.0,28.0,1 ,720,1197.0,45.0,10365.0,"16,585",04-13-2020
Maine ,698,65.0,19.0, ,406,524.0,14.0,12168.0,"9,130",04-13-2020
Navajo Nation ,698,,24.0, ,674,,,,,04-13-2020
West Virginia ,626,15.0,9.0,1 ,534,342.0,5.0,16655.0,"9,106",04-13-2020
Hawaii ,499,,9.0, ,180,351.0,6.0,18827.0,"13,240",04-13-2020
Montana ,394,7.0,7.0,1 ,216,378.0,7.0,8913.0,"8,556",04-13-2020
North Dakota ,331,23.0,8.0, ,196,440.0,11.0,10781.0,"14,333",04-13-2020
Alaska ,272,,8.0, ,198,368.0,11.0,8038.0,"10,884",04-13-2020
Wyoming ,270,,, ,133,464.0,,5614.0,"9,649",04-13-2020
Guam ,133,,5.0, ,70,,,605.0,,04-13-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-13-2020
United States Virgin Islands ,51,,1.0, ,7,,,370.0,,04-13-2020
Diamond Princess Ship ,46,,, ,46,,,46.0,,04-13-2020
Northern Mariana Islands ,11,,2.0, ,9,,,45.0,,04-13-2020
Wuhan Repatriated ,3,,, ,3,,,3.0,,04-13-2020
New York ,202208,6553.0,10834.0,778 ,174285,10307.0,552.0,499143.0,"25,443",04-14-2020
New Jersey ,68824,4240.0,2805.0,362 ,64748,7749.0,316.0,131219.0,"14,774",04-14-2020
Massachusetts ,26867,,844.0, ,25294,3934.0,124.0,122049.0,"17,869",04-14-2020
Michigan ,25635,,1602.0, ,23590,2574.0,161.0,76014.0,"7,634",04-14-2020
Pennsylvania ,25345,1053.0,590.0, ,24105,1981.0,46.0,133631.0,"10,447",04-14-2020
California ,24421,282.0,731.0,4 ,22750,624.0,19.0,212900.0,"5,438",04-14-2020
Illinois ,22025,,794.0, ,21181,1718.0,62.0,105768.0,"8,249",04-14-2020
Louisiana ,21518,502.0,1013.0,129 ,20455,4614.0,217.0,118422.0,"25,393",04-14-2020
Florida ,21367,348.0,524.0,25 ,20218,1037.0,25.0,205413.0,"9,972",04-14-2020
Texas ,14624,347.0,318.0,23 ,11726,524.0,11.0,146467.0,"5,253",04-14-2020
Georgia ,14223,602.0,501.0,21 ,13691,1381.0,49.0,61795.0,"6,001",04-14-2020
Connecticut ,13381,,602.0, ,12729,3736.0,168.0,44309.0,"12,372",04-14-2020
Washington ,10703,,523.0, ,8855,1467.0,72.0,92999.0,"12,749",04-14-2020
Maryland ,9472,536.0,302.0,40 ,8567,1578.0,50.0,53733.0,"8,950",04-14-2020
Indiana ,8527,291.0,387.0,37 ,8126,1285.0,58.0,46017.0,"6,933",04-14-2020
Colorado ,7691,7.0,308.0,4 ,7343,1390.0,56.0,38742.0,"7,004",04-14-2020
Ohio ,6975,,274.0, ,6581,599.0,24.0,63243.0,"5,432",04-14-2020
Virginia ,6171,424.0,154.0,5 ,5296,733.0,18.0,42763.0,"5,082",04-14-2020
Tennessee ,5610,,109.0, ,3830,843.0,16.0,76195.0,"11,456",04-14-2020
North Carolina ,5024,140.0,108.0,1 ,4830,495.0,11.0,65039.0,"6,404",04-14-2020
US Military ,4528,,15.0, ,3925,,,,,04-14-2020
Missouri ,4510,,122.0, ,4204,741.0,20.0,45064.0,"7,400",04-14-2020
Alabama ,3811,8.0,105.0,2 ,3686,783.0,22.0,33050.0,"6,794",04-14-2020
Arizona ,3806,104.0,131.0,9 ,3635,548.0,19.0,44096.0,"6,348",04-14-2020
South Carolina ,3439,,87.0, ,3352,694.0,18.0,31426.0,"6,341",04-14-2020
Wisconsin ,3428,,154.0, ,3209,593.0,27.0,40197.0,"6,956",04-14-2020
Mississippi ,3087,145.0,111.0,13 ,2976,1033.0,37.0,21101.0,"7,060",04-14-2020
Rhode Island ,2976,,73.0, ,2893,2817.0,69.0,20350.0,"19,260",04-14-2020
Nevada ,2971,,120.0, ,1682,1016.0,41.0,30628.0,"10,479",04-14-2020
Utah ,2363,,18.0, ,2127,776.0,6.0,45787.0,"15,035",04-14-2020
Oklahoma ,2184,115.0,108.0,9 ,1016,557.0,28.0,28225.0,"7,204",04-14-2020
District Of Columbia ,2058,103.0,67.0,15 ,1473,3007.0,98.0,11518.0,"16,827",04-14-2020
Kentucky ,2048,,104.0, ,1638,461.0,23.0,26683.0,"6,009",04-14-2020
Delaware ,1761,,41.0, ,1443,1855.0,43.0,12304.0,"12,958",04-14-2020
Iowa ,1710,,43.0, ,926,546.0,14.0,17592.0,"5,616",04-14-2020
Minnesota ,1695,45.0,79.0,9 ,707,307.0,14.0,39241.0,"7,099",04-14-2020
Oregon ,1584,,53.0, ,1531,388.0,13.0,31121.0,"7,624",04-14-2020
Arkansas ,1480,5.0,30.0, ,1023,495.0,10.0,21131.0,"7,066",04-14-2020
Idaho ,1453,,33.0, ,1396,861.0,20.0,14881.0,"8,817",04-14-2020
Kansas ,1376,,62.0, ,1074,473.0,21.0,13864.0,"4,766",04-14-2020
New Mexico ,1345,,31.0, ,1019,643.0,15.0,31970.0,"15,279",04-14-2020
New Hampshire ,1020,,23.0, ,748,759.0,17.0,11610.0,"8,641",04-14-2020
Puerto Rico ,923,20.0,45.0, ,874,273.0,13.0,8535.0,"2,520",04-14-2020
Nebraska ,871,,18.0, ,831,457.0,9.0,11384.0,"5,977",04-14-2020
South Dakota ,868,,6.0, ,655,1004.0,7.0,9002.0,"10,415",04-14-2020
Navajo Nation ,813,115.0,28.0,4 ,785,,,,,04-14-2020
Vermont ,748,,28.0, ,720,1197.0,45.0,10365.0,"16,585",04-14-2020
Maine ,734,36.0,20.0,1 ,422,551.0,15.0,12168.0,"9,130",04-14-2020
West Virginia ,633,,9.0, ,539,346.0,5.0,16748.0,"9,157",04-14-2020
Hawaii ,504,,9.0, ,180,354.0,6.0,18827.0,"13,240",04-14-2020
Montana ,399,5.0,7.0, ,195,383.0,7.0,9234.0,"8,864",04-14-2020
 North Dakota ,341,10.0,9.0,1 ,194,453.0,12.0,10916.0,"14,512",04-14-2020
Alaska ,277,,8.0, ,184,375.0,11.0,8038.0,"10,884",04-14-2020
Wyoming ,275,,1.0, ,134,473.0,2.0,5963.0,"10,249",04-14-2020
Guam ,133,,5.0, ,70,,,605.0,,04-14-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-14-2020
United States Virgin Islands ,51,,1.0, ,6,,,400.0,,04-14-2020
Diamond Princess Ship ,46,,, ,46,,,46.0,,04-14-2020
Northern Mariana Islands ,11,,2.0, ,9,,,45.0,,04-14-2020
Wuhan Repatriated ,3,,, ,3,,,3.0,,04-14-2020
New York ,203123,,11586.0,752 ,167650,10354.0,591.0,499143.0,"25,443",04-15-2020
New Jersey ,71030,2206.0,3156.0,351 ,66603,7997.0,355.0,131976.0,"14,859",04-15-2020
Massachusetts ,28163,,957.0, ,26477,4123.0,140.0,126551.0,"18,528",04-15-2020
Michigan ,27001,,1768.0, ,24790,2712.0,178.0,76014.0,"7,634",04-15-2020
Pennsylvania ,26490,1025.0,696.0, ,25144,2071.0,54.0,137584.0,"10,756",04-15-2020
California ,25808,272.0,790.0,8 ,23668,659.0,20.0,215400.0,"5,502",04-15-2020
Illinois ,23247,,868.0, ,22329,1813.0,68.0,110616.0,"8,627",04-15-2020
Florida ,22081,453.0,591.0,20 ,20846,1072.0,29.0,205413.0,"9,972",04-15-2020
Louisiana ,21951,433.0,1103.0,90 ,20798,4707.0,237.0,121928.0,"26,145",04-15-2020
Texas ,15492,479.0,364.0,19 ,11978,556.0,13.0,151810.0,"5,444",04-15-2020
Georgia ,14987,409.0,552.0,28 ,14404,1455.0,54.0,64090.0,"6,224",04-15-2020
Connecticut ,13989,,671.0, ,13253,3906.0,187.0,45841.0,"12,799",04-15-2020
Washington ,10795,,547.0, ,8824,1480.0,75.0,122854.0,"16,842",04-15-2020
Maryland ,10032,560.0,349.0,47 ,9076,1671.0,58.0,55763.0,"9,289",04-15-2020
Indiana ,8955,428.0,436.0,49 ,8505,1349.0,66.0,48396.0,"7,291",04-15-2020
Colorado ,7941,,329.0, ,7496,1436.0,59.0,39580.0,"7,156",04-15-2020
Ohio ,7791,511.0,361.0,37 ,7310,669.0,31.0,67874.0,"5,830",04-15-2020
Virginia ,6500,329.0,195.0,41 ,5584,773.0,23.0,44169.0,"5,250",04-15-2020
Tennessee ,5823,,124.0, ,3730,875.0,19.0,78831.0,"11,852",04-15-2020
North Carolina ,5249,116.0,125.0,12 ,4241,517.0,12.0,67827.0,"6,679",04-15-2020
US Military ,4769,,16.0, ,4127,,,,,04-15-2020
 Missouri ,4752,38.0,147.0,5 ,4421,780.0,24.0,48803.0,"8,014",04-15-2020
Alabama ,4075,122.0,118.0,4 ,3937,838.0,24.0,34077.0,"7,005",04-15-2020
Arizona ,3962,156.0,142.0,11 ,3750,570.0,20.0,45310.0,"6,523",04-15-2020
Wisconsin ,3555,,170.0, ,3298,615.0,29.0,41552.0,"7,191",04-15-2020
South Carolina ,3553,,97.0, ,3456,717.0,20.0,33872.0,"6,835",04-15-2020
Rhode Island ,3529,278.0,87.0,7 ,3432,3340.0,82.0,25897.0,"24,509",04-15-2020
Mississippi ,3360,273.0,122.0,11 ,3238,1124.0,41.0,37773.0,"12,638",04-15-2020
Nevada ,3211,123.0,130.0, ,1912,1099.0,44.0,33437.0,"11,440",04-15-2020
Utah ,2412,,19.0, ,2175,792.0,6.0,46476.0,"15,261",04-15-2020
Oklahoma ,2263,79.0,123.0,15 ,985,578.0,31.0,29098.0,"7,426",04-15-2020
Kentucky ,2210,,115.0, ,1789,498.0,26.0,27697.0,"6,238",04-15-2020
District Of Columbia ,2197,139.0,72.0,5 ,1595,3210.0,105.0,11525.0,"16,837",04-15-2020
Iowa ,1995,96.0,53.0,4 ,1201,637.0,17.0,19366.0,"6,182",04-15-2020
Delaware ,1926,,43.0, ,1564,2028.0,45.0,12869.0,"13,554",04-15-2020
Minnesota ,1809,114.0,87.0,8 ,782,327.0,16.0,40242.0,"7,281",04-15-2020
Oregon ,1633,,55.0, ,1578,400.0,13.0,31121.0,"7,624",04-15-2020
Arkansas ,1562,64.0,32.0, ,1043,522.0,11.0,21800.0,"7,289",04-15-2020
Idaho ,1464,,39.0, ,1401,867.0,23.0,15398.0,"9,123",04-15-2020
Kansas ,1426,,69.0, ,1117,490.0,24.0,14147.0,"4,864",04-15-2020
New Mexico ,1407,,36.0, ,1076,672.0,17.0,32850.0,"15,699",04-15-2020
South Dakota ,1168,180.0,6.0, ,833,1351.0,7.0,9859.0,"11,407",04-15-2020
New Hampshire ,1091,,27.0, ,815,812.0,20.0,11847.0,"8,817",04-15-2020
Puerto Rico ,974,51.0,51.0,6 ,919,288.0,15.0,9209.0,"2,719",04-15-2020
Nebraska ,901,,20.0, ,859,473.0,11.0,11757.0,"6,172",04-15-2020
Navajo Nation ,838,25.0,33.0,5 ,805,,,,,04-15-2020
Maine ,770,36.0,24.0,4 ,441,578.0,18.0,12168.0,"9,130",04-15-2020
Vermont ,752,,29.0, ,723,1203.0,46.0,10585.0,"16,937",04-15-2020
West Virginia ,702,8.0,10.0, ,545,384.0,5.0,17656.0,"9,653",04-15-2020
Hawaii ,517,,9.0, ,175,364.0,6.0,19857.0,"13,964",04-15-2020
Montana ,404,5.0,7.0, ,188,388.0,7.0,9583.0,"9,199",04-15-2020
North Dakota ,365,24.0,9.0, ,214,485.0,12.0,11317.0,"15,045",04-15-2020
Wyoming ,287,5.0,1.0, ,122,493.0,2.0,6129.0,"10,534",04-15-2020
Alaska ,285,,9.0, ,178,386.0,12.0,8348.0,"11,304",04-15-2020
Guam ,135,,5.0, ,64,,,605.0,,04-15-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-15-2020
United States Virgin Islands ,51,,1.0, ,6,,,400.0,,04-15-2020
Diamond Princess Ship ,46,,, ,46,,,46.0,,04-15-2020
Northern Mariana Islands ,13,,2.0, ,11,,,45.0,,04-15-2020
Wuhan Repatriated ,3,,, ,3,,,3.0,,04-15-2020
New York ,226343,7636.0,16251.0,606 ,186205,11537.0,828.0,550579.0,"28,064",04-16-2020
New Jersey ,75317,4287.0,3518.0,362 ,70528,8480.0,396.0,154010.0,"17,340",04-16-2020
Massachusetts ,29918,,1108.0, ,20692,4380.0,162.0,132023.0,"19,329",04-16-2020
Michigan ,28059,,1921.0, ,25695,2818.0,193.0,92483.0,"9,288",04-16-2020
Pennsylvania ,27735,982.0,779.0, ,26306,2168.0,61.0,141470.0,"11,060",04-16-2020
California ,27108,270.0,889.0,25 ,24869,692.0,23.0,215400.0,"5,502",04-16-2020
Illinois ,24593,,948.0, ,23595,1918.0,74.0,116929.0,"9,120",04-16-2020
Florida ,22897,378.0,633.0,19 ,21620,1112.0,31.0,220892.0,"10,724",04-16-2020
Louisiana ,22532,581.0,1156.0,53 ,21326,4831.0,248.0,126586.0,"27,143",04-16-2020
Texas ,16455,446.0,393.0,18 ,12385,590.0,14.0,158547.0,"5,686",04-16-2020
Georgia ,15669,409.0,587.0,11 ,15051,1522.0,57.0,67939.0,"6,598",04-16-2020
Connecticut ,14755,,868.0, ,13822,4120.0,242.0,50143.0,"14,001",04-16-2020
Washington ,10910,,567.0, ,8865,1496.0,78.0,122854.0,"16,842",04-16-2020
Maryland ,10784,752.0,392.0,43 ,9656,1796.0,65.0,58843.0,"9,802",04-16-2020
Indiana ,9542,587.0,477.0,41 ,9051,1438.0,72.0,51115.0,"7,701",04-16-2020
Ohio ,8414,623.0,389.0,28 ,7905,723.0,33.0,74840.0,"6,429",04-16-2020
Colorado ,8280,,357.0, ,7425,1497.0,65.0,40533.0,"7,328",04-16-2020
Virginia ,6889,389.0,208.0,13 ,5730,819.0,25.0,46444.0,"5,520",04-16-2020
Tennessee ,6079,,135.0, ,3748,914.0,20.0,80896.0,"12,163",04-16-2020
North Carolina ,5553,172.0,139.0,7 ,4531,547.0,14.0,70917.0,"6,983",04-16-2020
Missouri ,4895,,159.0, ,4552,804.0,26.0,48803.0,"8,014",04-16-2020
US Military ,4766,,17.0, ,4011,,,,,04-16-2020
Alabama ,4317,76.0,129.0,6 ,4168,887.0,27.0,36363.0,"7,475",04-16-2020
Arizona ,4234,272.0,150.0,8 ,4014,609.0,22.0,47398.0,"6,823",04-16-2020
Rhode Island ,3838,309.0,105.0,18 ,3723,3632.0,99.0,28064.0,"26,560",04-16-2020
Wisconsin ,3721,,182.0, ,3452,644.0,31.0,43047.0,"7,450",04-16-2020
South Carolina ,3656,,107.0, ,3549,738.0,22.0,34733.0,"7,008",04-16-2020
Mississippi ,3624,264.0,129.0,7 ,3495,1213.0,43.0,37733.0,"12,625",04-16-2020
Nevada ,3321,110.0,137.0,1 ,2015,1136.0,47.0,34504.0,"11,805",04-16-2020
Utah ,2542,,20.0, ,2304,835.0,7.0,47614.0,"15,635",04-16-2020
Oklahoma ,2357,94.0,131.0,8 ,1071,602.0,33.0,30795.0,"7,860",04-16-2020
District Of Columbia ,2350,153.0,81.0,9 ,1717,3433.0,118.0,12150.0,"17,750",04-16-2020
Kentucky ,2291,,122.0, ,1863,516.0,27.0,28324.0,"6,379",04-16-2020
Iowa ,2141,146.0,60.0,7 ,1340,683.0,19.0,20675.0,"6,600",04-16-2020
Delaware ,2014,,46.0, ,1614,2121.0,48.0,13102.0,"13,799",04-16-2020
Minnesota ,1912,103.0,94.0,7 ,798,346.0,17.0,41675.0,"7,540",04-16-2020
Oregon ,1663,,58.0, ,1605,407.0,14.0,33351.0,"8,170",04-16-2020
Arkansas ,1599,,34.0, ,1056,535.0,11.0,22289.0,"7,453",04-16-2020
Kansas ,1588,94.0,80.0,4 ,1268,546.0,28.0,16122.0,"5,543",04-16-2020
Idaho ,1587,,41.0, ,1522,940.0,24.0,15398.0,"9,123",04-16-2020
New Mexico ,1484,,36.0, ,1153,709.0,17.0,33394.0,"15,959",04-16-2020
South Dakota ,1311,143.0,7.0,1 ,931,1517.0,8.0,9859.0,"11,407",04-16-2020
New Hampshire ,1139,,32.0, ,742,848.0,24.0,12166.0,"9,055",04-16-2020
Puerto Rico ,1043,69.0,56.0,5 ,983,308.0,17.0,9829.0,"2,902",04-16-2020
Nebraska ,952,,21.0, ,909,500.0,11.0,12324.0,"6,470",04-16-2020
Navajo Nation ,838,,33.0, ,805,,,,,04-16-2020
Maine ,796,26.0,27.0,3 ,436,597.0,20.0,14872.0,"11,158",04-16-2020
Vermont ,768,9.0,35.0,5 ,733,1229.0,56.0,11507.0,"18,412",04-16-2020
West Virginia ,723,5.0,12.0, ,564,395.0,7.0,18027.0,"9,856",04-16-2020
Hawaii ,530,,9.0, ,162,373.0,6.0,20812.0,"14,635",04-16-2020
Montana ,415,11.0,7.0, ,190,398.0,7.0,9936.0,"9,538",04-16-2020
North Dakota ,393,28.0,9.0, ,221,522.0,12.0,11704.0,"15,560",04-16-2020
Alaska ,293,,9.0, ,178,397.0,12.0,8483.0,"11,487",04-16-2020
Wyoming ,288,,2.0, ,110,495.0,3.0,6129.0,"10,534",04-16-2020
Guam ,135,,5.0, ,57,,,605.0,,04-16-2020
Grand Princess Ship ,103,,3.0, ,100,,,,,04-16-2020
United States Virgin Islands ,51,,1.0, ,4,,,417.0,,04-16-2020
Diamond Princess Ship ,46,,, ,46,,,46.0,,04-16-2020
Northern Mariana Islands ,13,,2.0, ,11,,,45.0,,04-16-2020
Wuhan Repatriated ,3,,, ,3,,,3.0,,04-16-2020
New York ,226198,,16736.0,630 ,185575,11530.0,853.0,550579.0,"28,064",04-17-2020
New Jersey ,78467,3150.0,3840.0,322 ,73356,8835.0,432.0,154010.0,"17,340",04-17-2020
Massachusetts ,32181,,1245.0, ,22818,4712.0,182.0,140773.0,"20,610",04-17-2020
Pennsylvania ,29441,1706.0,837.0, ,27954,2302.0,65.0,141470.0,"11,060",04-17-2020
Michigan ,29263,,2093.0, ,26727,2939.0,210.0,97093.0,"9,751",04-17-2020
California ,28156,522.0,973.0,22 ,25833,719.0,25.0,227600.0,"5,814",04-17-2020
Illinois ,25733,,1072.0, ,24611,2007.0,84.0,122589.0,"9,561",04-17-2020
